xcoord,ycoord
44.6217540962,-110.302734375
44.3395652481,-109.9072265625
44.4965053311,-110.8740234375
44.7623366748,-114.9169921875
44.9647979303,-115.3344726563
45.1510532656,-114.8071289063
44.715513732,-109.7094726563
44.8402906514,-110.654296875
45.3058025994,-115.48828125
45.4292987326,-114.6533203125
45.4138764608,-114.0380859375
44.0718004675,-110.4675292969
43.9928145005,-110.1049804688
45.782848352,-114.8950195313
46.1341700462,-115.4223632813
46.5135155806,-114.5324707031
44.0718004675,-115.0927734375
47.0701218238,-115.0268554688
47.798396673,-115.4443359375
48.4000324961,-115.6201171875
48.7634311379,-115.5102539063
48.4000324961,-114.8071289063
45.1355551601,-111.1376953125
45.1665471579,-109.951171875
45.4447167916,-110.5224609375
43.4688676148,-110.302734375
44.5748174047,-113.6865234375
45.6447682178,-115.8618164063
46.1950421087,-114.873046875
47.5468715989,-115.0927734375
48.1953874083,-115.2685546875
48.166085419,-113.3569335938
48.4729212725,-114.1040039063
48.8502581997,-114.0161132813
47.3685943452,-113.3569335938
47.1149998262,-114.2797851563
44.8558688074,-115.9057617188
46.7699684336,-112.4560546875
46.0884717958,-113.6865234375
46.5135155806,-113.5986328125
45.4755402716,-111.2036132813
45.1045463098,-110.4125976563
44.8091217001,-111.3354492188
48.5747899109,-113.642578125
48.8502581997,-114.7412109375
48.5747899109,-115.9497070313
48.1074311885,-115.7958984375
46.4529970475,-115.2905273438
44.9492492666,-114.3676757813
44.2609372504,-114.3237304688
44.1033653779,-114.6313476563
45.1200528415,-113.4228515625
44.7623366748,-113.115234375
44.4023918291,-112.9174804688
47.1448974856,-112.8955078125
47.6061630439,-113.0932617188
47.5320382468,-113.8403320313
47.5172006978,-115.4663085938
47.6801829465,-115.927734375
47.294133725,-114.9169921875
45.0890355648,-114.0600585938
44.8714427502,-110.1489257813
45.1665471579,-109.423828125
43.1490939992,-109.4458007813
42.7147321854,-108.9624023438
42.8759641024,-110.654296875
48.7199612226,-116.4770507813
48.8647147618,-115.9716796875
43.802818719,-115.3344726563
43.5326204268,-114.78515625
43.6599240748,-114.0161132813
44.1349134438,-113.5546875
46.815098646,-110.6762695313
46.2254528823,-110.4565429688
45.4601306379,-111.97265625
47.9531449502,-114.7302246094
47.5691137587,-114.43359375
45.7675229621,-113.0053710938
44.8402906514,-111.8408203125
45.7675229621,-111.62109375
46.1646144969,-111.1376953125
48.1514281432,-114.345703125
47.3834738721,-114.169921875
47.9310663475,-115.83984375
45.0269504532,-110.7421875
44.7467332402,-110.9838867188
45.2903466247,-114.4116210938